,Inhibition,Activation,Total
Alicyclobacillus acidocaldarius,119,2,121
Dickeya chrysanthemi,42,1,43
Musca domestica,37,8,45
Anthocidaris crassispina,25,2,27
Persephonella marina,3,0,3
Photobacterium leiognathi,9,0,9
Aloe vera,7,2,9
Branchiostoma lanceolatum,0,2,2
Pleuronectes platessa,0,1,1
Coffea arabica,18,2,20
Myroides odoratus,0,2,2
Mycoplasma hyopneumoniae,7,0,7
Bacillus fastidiosus,35,0,35
Clostridium perfringens,167,25,192
Lactobacillus casei,160,7,167
Acanthaster planci,1,0,1
Alkalimonas collagenimarina,2,0,2
Pyrodictium abyssi,8,1,9
Methylophaga alcalica,7,1,8
Methylophilus methylotrophus,14,1,15
Moraxella cuniculi,5,0,5
Streptococcus criceti,0,1,1
Brevibacillus agri,1,0,1
Metridium senile,7,0,7
Populus nigra,13,3,16
Acidianus brierleyi,24,4,28
Crocodylus acutus,1,0,1
Tetrahymena pyriformis,106,21,127
Syntrophus gentianae,1,0,1
Rana temporaria,9,7,16
Amycolatopsis orientalis,11,0,11
Gordonia alkanivorans,1,0,1
Listeria innocua,2,0,2
Macrovipera lebetina,2,1,3
Thermoanaerobacter acetoethylicus,4,0,4
Bacillus subtilis,1192,167,1359
Providencia rettgeri,9,0,9
Pseudechis papuanus,1,0,1
Bactrocera dorsalis,7,0,7
Clarias batrachus,16,5,21
Saccharum officinarum,23,4,27
Halothermothrix orenii,1,0,1
Populus tremuloides,11,1,12
Spinacia oleracea,706,180,886
Methylomicrobium album,1,0,1
Rattus norvegicus,15861,2621,18482
Mesotaenium caldariorum,1,0,1
Zoogloea ramigera,14,0,14
Cocos nucifera,11,2,13
Streptococcus oligofermentans,0,1,1
Aporrectodea caliginosa,3,0,3
Rhodococcus equi,43,6,49
Lactobacillus diolivorans,4,0,4
Silene vulgaris,0,1,1
Pinus pinea,6,1,7
Geobacillus kaustophilus,7,1,8
Methanosarcina acetivorans,11,5,16
Solanum x edinense,1,0,1
Moraxella bovis,5,0,5
Ruminococcus torques,2,0,2
Burkholderia multivorans,4,0,4
Branchiostoma belcheri,3,0,3
Passiflora edulis,0,1,1
Photorhabdus luminescens,0,2,2
Platycladus orientalis,3,0,3
Cupriavidus necator,224,24,248
Sporosarcina psychrophila,1,3,4
Desulfotalea psychrophila,0,1,1
Vibrio parahaemolyticus,41,2,43
Clupea pallasii,1,0,1
Pseudonocardia autotrophica,0,3,3
Streptomyces hygroscopicus,25,5,30
Bifidobacterium pseudolongum,12,0,12
Parthenium argentatum,6,2,8
Ignicoccus hospitalis,3,2,5
Euryale ferox,0,1,1
Streptomyces sanglieri,6,3,9
Morus alba,1,0,1
Torpedo californica,60,0,60
Yersinia kristensenii,6,0,6
Achlya bisexualis,2,0,2
Origanum majorana,9,1,10
Lemna trisulca,3,0,3
Kitasatospora griseola,2,2,4
Sphingomonas paucimobilis,39,18,57
Desulfomicrobium baculatum,1,0,1
Corynebacterium pseudotuberculosis,2,0,2
Lactobacillus johnsonii,1,0,1
Glandularia x hybrida,3,0,3
Herbaspirillum seropedicae,1,4,5
Pseudomonas citronellolis,3,0,3
Nephtys caeca,6,0,6
Crataegus laevigata,2,0,2
Raphanus sativus,106,11,117
Rhodococcus rhodnii,0,1,1
Avena fatua,1,0,1
Sterculia foetida,1,1,2
Mucuna pruriens,3,2,5
Selaginella kraussiana,1,1,2
Euglena gracilis,301,68,369
Skeletonema costatum,6,0,6
Sarda sarda,8,0,8
Neosartorya fischeri,28,3,31
Cancer irroratus,0,1,1
Thermobifida fusca,68,6,74
Thauera butanivorans,4,5,9
Sardinops sagax,4,0,4
Sardinella aurita,11,0,11
Glandirana rugosa,1,0,1
Taraxacum officinale,9,0,9
Moraxella nonliquefaciens,5,0,5
Takifugu rubripes,4,2,6
Penaeus monodon,25,8,33
Chlorogloeopsis fritschii,8,3,11
Anchusa officinalis,4,0,4
Ankistrodesmus braunii,3,0,3
Crassostrea gigas,12,2,14
Streptococcus pyogenes,167,6,173
Macrobrachium rosenbergii,4,0,4
Sepia officinalis,32,1,33
Medicago truncatula,15,2,17
Rhopalosiphum padi,5,0,5
Mesorhizobium ciceri,7,1,8
