,bigg.reaction,EC_number
1070,ear180y,1.3.1.10
1071,ear181x,1.3.1.9
1072,ear181y,1.3.1.10
1073,ear40x,1.3.1.9
1074,ear40y,1.3.1.10
1075,ear60x,1.3.1.9
1076,ear60y,1.3.1.10
1077,ear80x,1.3.1.9
1078,ear80y,1.3.1.10
1085,ecoah1,4.2.1.17
1086,ecoah2,4.2.1.17
1087,ecoah3,4.2.1.17
1088,ecoah4,4.2.1.17
1089,ecoah5,4.2.1.17
1090,ecoah6,4.2.1.17
1091,ecoah7,4.2.1.17
1092,ecoah8,4.2.1.17
1093,eda,4.1.2.14
1094,edd,4.2.1.12
1099,egmeacpr,1.3.1.10
1101,eno,4.2.1.11
1105,epmeacpr,1.3.1.10
1106,ethaal,4.3.1.7
1117,fa100acphi,3.1.2.14
1118,fa120acphi,3.1.2.14
1119,fa140acphi,3.1.2.14
1120,fa141acphi,3.1.2.14
1121,fa160acphi,3.1.2.14
1122,fa161acphi,3.1.2.14
1123,fa80acphi,3.1.2.14
1134,facoal100t2pp,6.2.1.3
1135,facoal120t2pp,6.2.1.3
1136,facoal140t2pp,6.2.1.3
1137,facoal141t2pp,6.2.1.3
1138,facoal160t2pp,6.2.1.3
1139,facoal161t2pp,6.2.1.3
1140,facoal180t2pp,6.2.1.3
1141,facoal181t2pp,6.2.1.3
1142,facoal60t2pp,6.2.1.3
1143,facoal80t2pp,6.2.1.3
