bigg.metabolite,bigg.reaction,distance
dump,dtmpk,1.0
adp,tmpk,0.0
amp,tmpk,1.0
ppi,tmpk,1.0
na1,tmpk,2.0
thm,tmpk,1.0
adp,prpps,1.0
ca2,prpps,1.0
coa,ptpati,1.0
dpcoa,ptpati,0.0
ppi,ptpati,0.0
pan4p,ptpati,0.0
dtdpglu,galui,1.0
dtdprmn,galui,2.0
gal1p,uglt,0.0
g1p,uglt,0.0
udpgal,uglt,0.0
udpg,uglt,0.0
uacgam,uagdp,0.0
dtdpglu,g1ptt,0.0
dttp,g1ptt,0.0
gtp,glgc,1.0
pi,glgc,1.0
tre6p,glgc,2.0
ppi,kdoct2,0.0
hg2,kdoct2,2.0
ctp,dasyn120,0.0
dctp,dasyn120,1.0
ctp,mepct,0.0
cu2,lipatpt,1.0
ca2,pgsa120,2.0
glyc3p,pgsa120,0.0
mg2,pgsa120,2.0
apoacp,acps1,0.0
akg,pps,1.0
g3p,pps,1.0
adp,pps,1.0
adpglc,pps,1.0
amp,pps,0.0
atp,pps,0.0
ca2,pps,1.0
mg2,pps,1.0
mn2,pps,1.0
oaa,pps,1.0
pep,pps,0.0
amp,selnps,0.0
h2o2,selnps,2.0
na1,selnps,2.0
pi,selnps,0.0
selnp,selnps,0.0
zn2,selnps,1.0
cyan,cyanst,0.0
so3,cyanst,0.0
tsul,cyanst,0.0
cyan,mcpst,0.0
cys__l,mcpst,1.0
pyr,mcpst,0.0
accoa,forct,1.0
coa,forct,1.0
oxa,forct,0.0
fe2,lplipal1a120pp,2.0
fe3,lplipal1a120pp,2.0
amp,ntd10,1.0
adp,ntd10,1.0
atp,ntd10,1.0
ctp,ntd10,1.0
datp,ntd10,1.0
dctp,ntd10,1.0
dgtp,ntd10,1.0
dttp,ntd10,1.0
gtp,ntd10,1.0
itp,ntd10,1.0
utp,ntd10,1.0
atp,3ntd2pp,1.0
ctp,3ntd2pp,2.0
datp,3ntd2pp,2.0
dctp,3ntd2pp,2.0
dgtp,3ntd2pp,2.0
dttp,3ntd2pp,2.0
gtp,3ntd2pp,2.0
itp,3ntd2pp,2.0
utp,3ntd2pp,2.0
mg2,bpnt,1.0
adp,fbp,1.0
amp,fbp,1.0
atp,fbp,1.0
fdp,fbp,0.0
f1p,fbp,1.0
g6p,fbp,1.0
pi,fbp,0.0
ca2,histp,1.0
ca2,mi1pp,1.0
mg2,mi1pp,1.0
hg2,pgpp120,1.0
pi,pgpp120,0.0
ca2,kdopp,1.0
cd2,kdopp,1.0
cl,kdopp,1.0
cu2,kdopp,1.0
hg2,kdopp,1.0
adp,ntd1,1.0
atp,ntd1,1.0
ctp,ntd1,1.0
datp,ntd1,1.0
dctp,ntd1,1.0
dgtp,ntd1,1.0
dttp,ntd1,1.0
gtp,ntd1,1.0
itp,ntd1,1.0
utp,ntd1,1.0
amp,23pde2pp,3.0
pi,23pde2pp,2.0
zn2,23pde2pp,3.0
mg2,gpdda1,2.0
mn2,gpdda1,2.0
dgtp,ntptp1,0.0
gtp,ntptp1,1.0
cu2,mltg1,2.0
hg2,mltg1,2.0
k,mltg1,2.0
ag,lacz,4.0
ca2,lacz,2.0
hco3,lacz,2.0
cd2,lacz,2.0
cl,lacz,2.0
cit,lacz,2.0
cu2,lacz,2.0
gal,lacz,0.0
etha,lacz,3.0
fe2,lacz,2.0
hg2,lacz,2.0
zn2,lacz,2.0
k,treh,2.0
na1,treh,3.0
camp,ab6pgh,2.0
amp,ab6pgh,2.0
atp,ab6pgh,1.0
cmp,ab6pgh,2.0
glyc3p,ab6pgh,2.0
fdp,ab6pgh,2.0
nadh,ab6pgh,2.0
pep,ab6pgh,1.0
pi,ampn,1.0
so4,ampn,2.0
5mta,ahcysns,1.0
ade,ahcysns,0.0
adn,ahcysns,1.0
ahcys,ahcysns,0.0
cobalt2,amptasecg,1.0
cys__l,amptasecg,0.0
mn2,amptasecg,1.0
fald,mddcp1pp,2.0
gly,fthfd,1.0
ac,acoda,0.0
cu2,acoda,2.0
ni2,acoda,2.0
orn,acoda,0.0
zn2,acoda,2.0
ac,agdc,0.0
f6p,agdc,1.0
gam6p,agdc,0.0
acgam6p,agdc,0.0
zn2,uhgada,2.0
arg__l,agmt,1.0
cobalt2,agmt,1.0
ni2,agmt,1.0
orn,agmt,1.0
ptrc,agmt,0.0
