"","kingdom","phylum","class","order","family","genus","species","RevisedName"
"Azospirillum brasilense","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales",NA,NA,NA,NA
"Methanocaldococcus jannaschii","Archaea","Euryarchaeota",NA,NA,NA,NA,NA,NA
"Bacillus sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Lysinibacillus sphaericus","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae",NA,NA,NA
"Haloferax mediterranei","Archaea","Euryarchaeota",NA,NA,NA,NA,NA,NA
"Thermoproteus tenax","Archaea","Crenarchaeota","Thermoprotei",NA,NA,NA,NA,NA
"Azotobacter vinelandii","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Brugia malayi",NA,NA,NA,NA,NA,NA,NA,NA
"Phragmites australis","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Escherichia sp.","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Escherichia",NA,NA
"Oncorhynchus masou rhodurus",NA,NA,NA,NA,NA,NA,NA,NA
"Oncorhynchus mykiss","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Gallus gallus","Animalia","Chordata",NA,NA,NA,NA,NA,NA
"Lactobacillus sanfranciscensis","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,NA
"Pseudomonas fluorescens","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Gluconacetobacter liquefaciens","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae",NA,NA,NA
"Aspergillus nidulans",NA,NA,NA,NA,NA,NA,NA,NA
"Delftia acidovorans","Bacteria","Proteobacteria",NA,NA,NA,NA,NA,NA
"Chlorella vulgaris","Plantae",NA,NA,NA,NA,NA,NA,NA
"Euglena gracilis",NA,NA,NA,NA,NA,NA,NA,NA
"Chlamydomonas reinhardtii","Plantae",NA,NA,NA,NA,NA,NA,NA
"Sorghum bicolor","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Vicia faba","Plantae",NA,"Magnoliopsida","Fabales","Fabaceae",NA,NA,NA
"Sorghum sp.",NA,NA,NA,NA,NA,NA,NA,NA
"Flaveria bidentis","Plantae",NA,"Magnoliopsida",NA,NA,NA,NA,NA
"Glycine max","Plantae",NA,"Magnoliopsida","Fabales","Fabaceae",NA,NA,NA
"Pseudomonas mevalonii",NA,NA,NA,NA,NA,NA,NA,NA
"Phanerochaete chrysosporium",NA,NA,NA,NA,NA,NA,NA,NA
"Pseudomonas putida","Bacteria","Proteobacteria","Gammaproteobacteria",NA,NA,NA,NA,NA
"Sulfolobus tokodaii","Archaea","Crenarchaeota","Thermoprotei","Sulfolobales","Sulfolobaceae","Sulfolobus",NA,NA
"Aphanothece halophytica",NA,NA,NA,NA,NA,NA,NA,NA
"Penicillium urticae",NA,NA,NA,NA,NA,NA,NA,NA
"Synechococcus elongatus PCC 7942",NA,NA,NA,NA,NA,NA,NA,NA
"Thermoplasma volcanium","Archaea","Euryarchaeota",NA,NA,NA,NA,NA,NA
"Thermus thermophilus HB8",NA,NA,NA,NA,NA,NA,NA,NA
"Ovis aries aries",NA,NA,NA,NA,NA,NA,NA,NA
"Micrococcus luteus","Bacteria","Actinobacteria",NA,"Actinomycetales",NA,NA,NA,NA
"Tuber borchii",NA,NA,NA,NA,NA,NA,NA,NA
"Alternaria alternata","Fungi",NA,NA,NA,NA,NA,NA,NA
"Trichoderma reesei",NA,NA,NA,NA,NA,NA,NA,NA
