,bigg.metabolite,kegg.compound
679,orot_c,C00295
680,orot5p_c,C01103
681,oxa_c,C00209
682,oxadpcoa_c,C02232
683,oxalcoa_c,C00313
684,oxam_c,C01444
685,oxur_c,C00802
686,pa120_c,C00416
687,pa140_c,C00416
688,pa141_c,C00416
689,pa160_c,C00416
690,pa161_c,C00416
691,pa180_c,C00416
692,pa181_c,C00416
693,pac_c,C07086
694,pacald_c,C00601
695,palmACP_c,C05764
696,pan4p_c,C01134
697,pant__R_c,C00522
698,pap_c,C00054
699,paps_c,C00053
700,pdx5p_c,C00627
701,pe120_c,C00350
702,pe140_c,C00350
703,pe141_c,C00350
704,pe160_c,C00350
705,pe161_c,C00350
706,pe180_c,C00350
707,pe181_c,C00350
708,pep_c,C00074
709,pg120_c,C00344
710,pg140_c,C00344
711,pg141_c,C00344
712,pg160_c,C00344
713,pg161_c,C00344
714,pg180_c,C00344
715,pg181_c,C00344
716,pgp120_c,C03892
717,pgp140_c,C03892
718,pgp141_c,C03892
719,pgp160_c,C03892
720,pgp161_c,C03892
721,pgp180_c,C03892
722,pgp181_c,C03892
723,phaccoa_c,C00582
724,phe__L_c,C00079
725,pheme_c,C00032
726,phetrna_c,C03511
727,phom_c,C01102
728,phom_c,C05702
729,phpyr_c,C00166
730,phpyr_c,C02763
731,phthr_c,C06055
732,pi_c,C00009
733,pi_c,C13556
734,pi_c,C13558
735,pmtcoa_c,C00154
736,pnto__R_c,C00864
737,ppa_c,C00163
738,ppal_c,C00479
739,ppap_c,C02876
740,ppbng_c,C00931
741,ppcoa_c,C00100
742,ppgpp_c,C01228
743,pphn_c,C00254
744,ppi_c,C00013
745,ppp9_c,C02191
746,pppg9_c,C01079
747,pppi_c,C00536
748,pppi_c,C03279
749,pppn_c,C05629
750,pram_c,C03090
751,pran_c,C04302
752,prbamp_c,C02741
753,prbatp_c,C02739
754,prfp_c,C04896
755,prlp_c,C04916
756,pro__L_c,C00148
757,protrna_c,C02702
758,prpp_c,C00119
759,ps120_c,C02737
760,ps140_c,C02737
761,ps141_c,C02737
762,ps160_c,C02737
763,ps161_c,C02737
764,ps180_c,C02737
765,ps181_c,C02737
766,pser__L_c,C01005
767,ptrc_c,C00134
768,pyam5p_c,C00647
769,pydam_c,C00534
770,pydx_c,C00250
771,pydx5p_c,C00018
772,pydxn_c,C00314
773,pyr_c,C00022
774,q8_c,C00399
775,q8_c,C17569
776,q8h2_c,C00390
777,quln_c,C03722
778,r15bp_c,C01151
779,r1p_c,C00442
780,r1p_c,C00620
781,r5p_c,C00117
782,r5p_c,C03736
783,rbflvrd_c,C01007
784,rbl__L_c,C00508
785,rdmbzi_c,C05775
786,rhcys_c,C03539
787,rib__D_c,C00121
788,ribflv_c,C00255
789,rml_c,C00861
790,rml1p_c,C01131
791,rmn_c,C00507
792,ru5p__D_c,C00199
793,ru5p__L_c,C01101
794,s17bp_c,C00447
795,s7p_c,C00281
796,s7p_c,C05382
797,sarcs_c,C00213
798,sbt6p_c,C01096
799,sbzcoa_c,C03160
800,scl_c,C05778
801,sectrna_c,C05173
802,sectrna_c,C06482
803,sel_c,C05697
804,seln_c,C01528
805,selnp_c,C05172
806,ser__D_c,C00740
807,ser__L_c,C00065
808,seramp_c,C05820
809,sertrna_c,C02553
810,sheme_c,C00748
811,skm_c,C00493
812,skm5p_c,C03175
813,sl26da_c,C04421
814,sl2a6o_c,C04462
815,sl2a6o_c,C05537
816,so2_c,C09306
817,so3_c,C00094
818,so3_c,C11481
819,so3_c,C20393
820,so4_c,C00059
821,so4_c,C13192
822,so4_c,C13194
823,so4_c,C13199
824,so4_c,C17383
825,so4_c,C18713
826,so4_c,C20392
827,spmd_c,C00315
828,stcoa_c,C00412
829,suc6p_c,C02591
830,sucarg_c,C03296
831,sucbz_c,C02730
832,succ_c,C00042
833,succoa_c,C00091
834,sucglu_c,C05931
835,sucgsa_c,C05932
836,suchms_c,C01118
837,sucorn_c,C03415
838,sucsal_c,C00232
839,sulfac_c,C14179
840,tag6p__D_c,C01097
841,tagdp__D_c,C03785
842,tagur_c,C00558
843,tartr__L_c,C00898
844,taur_c,C00245
845,tcynt_c,C01755
846,td2coa_c,C05273
847,tdcoa_c,C02593
848,tddec2eACP_c,C05758
849,tdec2eACP_c,C05754
850,tdecoa_c,C06737
851,thdp_c,C03972
852,thex2eACP_c,C05748
853,thf_c,C00101
854,thm_c,C00378
855,thmmp_c,C01081
856,thmpp_c,C00068
857,thr__L_c,C00188
858,thrtrna_c,C02992
859,thym_c,C00178
860,thymd_c,C00214
861,tma_c,C00565
862,tmao_c,C01104
863,tmrs2eACP_c,C05760
864,toct2eACP_c,C05751
865,toctd2eACP_c,C16221
866,tpalm2eACP_c,C05763
867,trdox_c,C00343
868,trdrd_c,C00342
869,tre_c,C01083
870,tre6p_c,C00689
871,trnaala_c,C01635
872,trnaarg_c,C01636
873,trnaasn_c,C01637
874,trnaasp_c,C01638
875,trnacys_c,C01639
876,trnagln_c,C01640
877,trnaglu_c,C01641
878,trnagly_c,C01642
879,trnahis_c,C01643
880,trnaile_c,C01644
881,trnaleu_c,C01645
882,trnalys_c,C00066
883,trnalys_c,C00419
884,trnalys_c,C01646
885,trnamet_c,C01647
886,trnaphe_c,C01648
887,trnapro_c,C01649
888,trnaser_c,C01650
889,trnathr_c,C01651
890,trnatrp_c,C01652
891,trnatyr_c,C00787
892,trnaval_c,C01653
893,trp__L_c,C00078
894,trptrna_c,C03512
895,tsul_c,C00320
896,tsul_c,C05529
897,ttdca_c,C06424
898,tyr__L_c,C00082
899,tyrtrna_c,C02839
900,u23ga_c,C04652
901,u3aga_c,C04738
902,u3hga_c,C06022
903,uaagmda_c,C05898
904,uaccg_c,C04631
905,uacgam_c,C00043
906,uacmam_c,C01170
907,uacmamu_c,C06240
908,uagmda_c,C05897
909,uama_c,C01212
910,uamag_c,C00692
911,uamr_c,C01050
912,udcpdp_c,C03543
913,udcpdp_c,C04574
914,udcpp_c,C00348
915,udp_c,C00015
916,udpLa4fn_c,C16154
917,udpLa4n_c,C16153
918,udpLa4o_c,C16155
919,udpg_c,C00029
920,udpgal_c,C00052
921,udpgalfur_c,C03733
922,udpglcur_c,C00167
923,ugmd_c,C04877
924,ugmda_c,C04882
925,um4p_c,C04804
926,ump_c,C00105
927,unaga_c,C01289
928,uppg3_c,C01051
929,ura_c,C00106
930,urate_c,C00366
931,urdglyc_c,C00603
932,urdglyc_c,C02766
933,urea_c,C00086
934,uri_c,C00299
935,uri_c,C16745
936,utp_c,C00075
937,val__L_c,C00183
938,valtrna_c,C02554
939,xan_c,C00385
940,xdp_c,C01337
941,xmp_c,C00655
942,xtp_c,C00700
943,xtsn_c,C01762
944,xu5p__D_c,C00231
945,xu5p__L_c,C03291
946,xyl__D_c,C00181
947,xylu__D_c,C00310
948,xylu__L_c,C00312
949,zn2_c,C00038
950,zn2_c,C12570
951,12ppd__R_e,C02912
952,12ppd__S_e,C02917
953,15dap_e,C01672
954,23camp_e,C02353
955,23ccmp_e,C02354
956,23cgmp_e,C06194
957,23cump_e,C02355
958,23dappa_e,C03401
959,23dappa_e,C06393
960,26dap__M_e,C00680
961,2ddglcn_e,C00204
962,34dhpac_e,C04043
963,3amp_e,C01367
964,3cmp_e,C05822
965,3gmp_e,C06193
966,3hcinnm_e,C12621
967,3hpp_e,C01013
968,3hpppn_e,C11457
969,3ump_e,C01368
970,4abut_e,C00334
971,4hoxpacd_e,C03765
972,5dglcn_e,C01062
973,5mtr_e,C03089
974,ac_e,C00033
975,acac_e,C00164
976,acald_e,C00084
977,acgal_e,C01132
978,acgal1p_e,C18060
979,acgam_e,C00140
980,acgam1p_e,C04256
981,acmana_e,C00645
982,acmum_e,C02713
983,acnam_e,C00270
984,acser_e,C00979
985,ade_e,C00147
986,adn_e,C00212
987,adn_e,C07195
988,adocbl_e,C00194
989,ag_e,C06710
990,agm_e,C00179
991,akg_e,C00026
992,ala_B_e,C00099
993,ala__D_e,C00133
994,ala__L_e,C00041
995,alaala_e,C00993
996,all__D_e,C01487
997,alltn_e,C01551
998,alltn_e,C02348
999,alltn_e,C02350
1000,amp_e,C00020
1001,arab__L_e,C00259
1002,arg__L_e,C00062
1003,ascb__L_e,C00072
1004,asn__L_e,C00152
1005,aso3_e,C06697
1006,asp__L_e,C00049
1007,btn_e,C00120
1008,but_e,C00246
1009,ca2_e,C00076
1010,ca2_e,C08130
1011,ca2_e,C12277
1012,ca2_e,C13140
1013,ca2_e,C13189
1014,ca2_e,C18381
1015,cbi_e,C05774
1016,cbl1_e,C00853
1017,cd2_e,C01413
1018,cgly_e,C01419
1019,chol_e,C00114
1020,cit_e,C00158
1021,cit_e,C12649
1022,cit_e,C13660
1023,cl_e,C00115
1024,cl_e,C00698
1025,cl_e,C01327
1026,cmp_e,C00055
1027,co2_e,C00011
1028,cobalt2_e,C00175
1029,crn_e,C00318
1030,crn_e,C00487
1031,crn__D_e,C00487
1032,csn_e,C00380
1033,cu2_e,C00070
1034,cyan_e,C00177
1035,cyan_e,C01326
1036,cynt_e,C01417
1037,cys__D_e,C00793
1038,cys__L_e,C00097
1039,cytd_e,C00475
1040,dad_2_e,C00559
1041,damp_e,C00360
1042,dca_e,C01571
1043,dcmp_e,C00239
1044,dcyt_e,C00881
1045,ddca_e,C02679
1046,dgmp_e,C00362
1047,dgsn_e,C00330
1048,dha_e,C00184
1049,dimp_e,C06196
1050,din_e,C05512
1051,dms_e,C00580
1052,dmso_e,C11143
1053,dopa_e,C03758
1054,dtmp_e,C00364
1055,dump_e,C00365
1056,duri_e,C00526
1057,enter_e,C05821
1058,enter_e,C06230
1059,etha_e,C00189
1060,etoh_e,C00469
1061,f6p_e,C00085
1062,f6p_e,C05345
1063,fald_e,C00067
1064,fe2_e,C00023
1065,fe2_e,C14818
1066,fe3_e,C14819
1067,fe3dcit_e,C06229
1068,fe3hox_e,C06227
1069,fecrm_e,C06228
1070,feenter_e,C06230
1071,feoxam_e,C07597
1072,for_e,C00058
1073,fru_e,C00095
1074,fru_e,C02336
1075,frulys_e,C16488
1076,fruur_e,C00905
1077,fuc__L_e,C01019
