,NumRef,Refs
nadp-->kara1,1,639175
cu2-->agpr,1,390280
amp-->23pde2pp,1,652555
atp-->gludy,1,391685
na1-->treh,1,136178
hco3-->cfas160e,1,680343
mg2-->pgsa120,1,644290
zn2-->adpt,1,638391
pacald-->betaldhx,1,390329
urea-->cytd,1,209644
succ-->sucoas,1,823
his__l-->cat,1,439802
glu__l-->uamags,1,1293
ppi-->pants,1,979
gln__l-->adcs,1,644230
xmp-->cbps,1,1731
nadh-->ppck,1,4621
h2o2-->dhcindo,1,395595
xmp-->impd,1,347946
cobalt2-->agmt,1,246685
mg2-->me2,1,687388
ser__l-->hsk,1,641470
nadph-->glgc,1,643144
ca2-->lacz,1,679236
nadp-->glgc,1,643144
ugmda-->uagcvt,1,637590
cd2-->zn2abcpp,1,246929
aso4-->mgsa,1,137601
fe3-->sulri,1,656421
zn2-->agmt,1,246685
cys__l-->altrh,1,33957
so4-->ctps2,1,648963
gly-->glusy,1,391438
gly-->csnd,1,209497
6pgc-->kg6pdc,1,650143
nadp-->3oar121,1,669013
hg2-->mltg1,1,393267
dmso-->thd2pp,1,725040
nadph-->glusy,1,391457
cu2-->dhad1,1,33959
mn2-->gpdda1,1,646457
cl-->pglycp,1,651727
mg2-->u23gaat,1,696264
hco3-->lacz,1,679236
dha-->acnml,1,33332
xan-->ctps2,1,702613
asn__l-->ocbt,1,485898
mana-->manao,1,287131
ppi-->galctd,1,5701
mn2-->ctps2,1,649002
dgsn-->ctps2,1,674909
lipoate-->ophbdc,1,729319
h2o2-->tkt1,1,694217
pi-->ddpa,1,639747
hcys__l-->hsk,1,641470
cu2-->mltg1,1,393267
mg2-->gpdda1,1,646457
val__l-->csnd,1,209497
nadp-->nadk,1,641189
accoa-->3oas121,1,486914
ppa-->ugmdds,1,651110
met__l-->hsk,1,641470
zn2-->cysdds,1,648731
xmp-->ompdc,1,694055
cl-->lacz,1,679236
pyr-->dxps,1,719975
cit-->galctd,1,5701
pant__r-->dpr,1,286108
no-->nodox,1,657560
h2o2-->edd,1,33658
so4-->rmpa,1,713694
lac__l-->pdh,1,348956
pan4p-->ptpati,1,674344
g1p-->uglt,1,642838
adn-->nads1,1,953
met__d-->hsst,1,487045
uama-->uamas,1,1289
dctp-->dtmpk,1,645198
glyclt-->gcaldd,1,390213
adprib-->g3pd2,1,669177
dctp-->ntd1,1,656266
ppi-->ppa,1,685299
hom__l-->gludy,1,391686
ca2-->uagpt3,1,488971
zn2-->thd2pp,1,725040
adp-->ntd10,1,656266
accoa-->pntk,1,641393
gly-->alaalar,1,1235
