,EC_number,bigg.metabolite,KI_Value,growth condition,concentration,saturation,met:EC
242,2.3.3.16,nadh,0.0028,Glucose,0.0631,0.95751138088,nadh:2.3.3.16
243,2.1.3.2,fum,5.3,Glucose,1.261,0.192196311538,fum:2.1.3.2
244,2.1.3.2,succ,3.5,Glucose,2.7262,0.437859368475,succ:2.1.3.2
245,2.6.1.19,succ,27.0,Glucose,2.7262,0.0917103430644,succ:2.6.1.19
246,2.7.2.4,succ,159.0,Glucose,2.7262,0.0168568852789,succ:2.7.2.4
247,6.3.4.4,succ,0.89,Glucose,2.7262,0.753885293955,succ:6.3.4.4
248,2.3.3.16,akg,0.76,Glucose,1.465,0.658426966292,akg:2.3.3.16
249,2.3.3.9,pyr,0.65,Glucose,3.2319,0.832556222468,pyr:2.3.3.9
250,2.7.11.5,pyr,0.2,Glucose,3.2319,0.941723243684,pyr:2.7.11.5
251,4.1.2.52,pyr,0.51,Glucose,3.2319,0.863705604105,pyr:4.1.2.52
252,4.1.3.39,pyr,0.51,Glucose,3.2319,0.863705604105,pyr:4.1.3.39
253,2.7.11.5,icit,0.016,Glucose,0.0188,0.540229885057,icit:2.7.11.5
254,2.7.4.1,gmp,0.0007,Glucose,0.3982,0.998245174229,gmp:2.7.4.1
255,3.1.3.11,f1p,1.0,Glucose,0.2982,0.229702665229,f1p:3.1.3.11
256,3.2.2.9,ade,0.3,Glucose,0.0311,0.0939293264875,ade:3.2.2.9
257,6.3.3.3,ade,2.2,Glucose,0.0311,0.0139393124468,ade:6.3.3.3
258,4.1.2.13,dhap,0.13,Glucose,3.0367,0.958947800549,dhap:4.1.2.13
259,6.3.4.2,gtp,0.12,Glucose,3.1469,0.963267929842,gtp:6.3.4.2
260,1.1.1.169,adp,1.05,Glycerol,0.8456,0.446085672083,adp:1.1.1.169
261,1.1.1.94,adp,0.8,Glycerol,0.8456,0.513855128828,adp:1.1.1.94
262,1.6.5.11,adp,0.7,Glycerol,0.8456,0.547101449275,adp:1.6.5.11
263,2.7.1.170,adp,0.4,Glycerol,0.8456,0.678869621066,adp:2.7.1.170
264,2.7.1.56,adp,0.28,Glycerol,0.8456,0.751243781095,adp:2.7.1.56
265,2.7.11.5,adp,0.45,Glycerol,0.8456,0.652670577339,adp:2.7.11.5
266,2.7.2.11,adp,0.06,Glycerol,0.8456,0.933745583039,adp:2.7.2.11
267,2.7.4.1,adp,0.09,Glycerol,0.8456,0.903805044891,adp:2.7.4.1
268,2.7.6.1,adp,0.334,Glycerol,0.8456,0.716853170566,adp:2.7.6.1
269,3.1.3.31,adp,0.0013,Glycerol,0.8456,0.998464989963,adp:3.1.3.31
270,1.1.1.169,amp,6.3,Glycerol,0.6928,0.0990733325706,amp:1.1.1.169
271,1.1.1.94,amp,5.0,Glycerol,0.6928,0.121697582912,amp:1.1.1.94
272,1.6.1.2,amp,3.4,Glycerol,0.6928,0.169272869429,amp:1.6.1.2
273,1.6.5.11,amp,0.5,Glycerol,0.6928,0.58081824279,amp:1.6.5.11
274,2.7.11.5,amp,0.008,Glycerol,0.6928,0.988584474886,amp:2.7.11.5
275,2.7.7.27,amp,0.007,Glycerol,0.6928,0.989997142041,amp:2.7.7.27
276,2.7.9.3,amp,0.17,Glycerol,0.6928,0.802967083913,amp:2.7.9.3
277,3.1.3.11,amp,0.00062,Glycerol,0.6928,0.999105880996,amp:3.1.3.11
278,3.1.3.5,amp,23.0,Glycerol,0.6928,0.0292409508374,amp:3.1.3.5
279,6.1.1.1,amp,0.35,Glycerol,0.6928,0.664365170694,amp:6.1.1.1
280,1.1.1.169,atp,0.61,Glycerol,4.7673,0.886560169602,atp:1.1.1.169
281,1.6.5.11,atp,9.0,Glycerol,4.7673,0.346277047787,atp:1.6.5.11
282,2.7.2.8,atp,30.4,Glycerol,4.7673,0.1355605918,atp:2.7.2.8
283,3.1.3.31,atp,0.0017,Glycerol,4.7673,0.999643531139,atp:3.1.3.31
284,3.1.3.41,atp,0.5,Glycerol,4.7673,0.905074706206,atp:3.1.3.41
285,3.1.3.5,atp,24.1,Glycerol,4.7673,0.165145337458,atp:3.1.3.5
286,3.1.3.6,atp,24.1,Glycerol,4.7673,0.165145337458,atp:3.1.3.6
287,3.6.1.11,atp,24.1,Glycerol,4.7673,0.165145337458,atp:3.6.1.11
288,3.6.3.16,atp,0.792,Glycerol,4.7673,0.857536020722,atp:3.6.3.16
289,6.3.4.14,atp,27.0,Glycerol,4.7673,0.150069410998,atp:6.3.4.14
290,1.1.1.42,pep,0.31,Glycerol,0.7182,0.698502236919,pep:1.1.1.42
291,2.7.11.5,pep,0.55,Glycerol,0.7182,0.566314461441,pep:2.7.11.5
292,4.1.3.1,pep,0.893,Glycerol,0.7182,0.445754716981,pep:4.1.3.1
293,1.1.1.49,nadph,0.01,Glycerol,0.1684,0.943946188341,nadph:1.1.1.49
294,1.1.1.86,nadph,0.0012,Glycerol,0.1684,0.992924528302,nadph:1.1.1.86
295,1.5.1.30,nadph,0.0035,Glycerol,0.1684,0.979639325189,nadph:1.5.1.30
296,1.6.1.2,nadph,0.26,Glycerol,0.1684,0.393090569561,nadph:1.6.1.2
297,2.7.11.5,nadph,0.042,Glycerol,0.1684,0.800380228137,nadph:2.7.11.5
298,1.1.1.94,nad,0.2,Glycerol,4.3957,0.956481058381,nad:1.1.1.94
299,1.6.5.11,nad,0.02,Glycerol,4.3957,0.995470706796,nad:1.6.5.11
300,1.1.1.94,nadp,0.25,Glycerol,0.0203,0.0751017388087,nadp:1.1.1.94
