,NumRef,Refs
ni2-->agpr,1,390280
ser__l-->uamas,2,1286;1289
pi-->gtpci,3,209545;209546;209549
mn2-->amptasecg,1,137173
gcald-->gcaldd,1,390213
gthox-->papsr,1,659214
ni2-->a5piso,1,652445
fe2-->cytd,2,209644;209660
na1-->tmpk,1,642545
tsul-->cyanst,1,645532
atp-->pps,1,645468
cit-->fbp,1,680756
cu2-->sulri,1,656421
hg2-->acnml,2,33314;33337
taur-->pants,3,977;978;979
fdp-->ppc,1,4286
amp-->pntk,1,641393
ins-->ctps2,1,674909
pheme-->nodox,1,285279
hg2-->gtpci,3,209545;209546;209553
adp-->oxcdc,1,714955
ni2-->uagpt3,1,488971
ura-->pynp2r,2,638518;638520
succ-->glusy,1,391438
cyan-->glcral,1,5078
zn2-->phetrs,2,336;337
nadh-->ab6pgh,1,136924
ppi-->histrs,1,369
gtp-->mthfd,2,392307;392308
ni2-->abutd,1,690591
nadh-->pgcd,1,287525
mthgxl-->lcadi,1,288133
for-->dpr,1,286109
xmp-->gmps2,1,727023
4ahmmp-->hmpk1,1,641658
succ-->dhqti,2,5473;5474
fe2-->ap4ah,1,246765
glu__d-->glusy,1,391438
orn-->cbps,19,1725;1729;1731;649457;649877;649886;649895;650020;650798;650927;651292;651471;651882;651937;652334;652351;652788;652823;693247
icit-->glusy,1,391438
fe2-->uagcvt,1,706916
pro__l-->p5cr,1,392126
nadh-->mthfr2,1,654771
btn-->accoac,2,665523;665526
15dap-->dhfr,1,392238
cobalt2-->adsk,1,641215
gmp-->cdappa120,1,210004
utp-->ntpp1,1,655847
succ-->aspt,3,6000;6016;6019
cu2-->abutd,1,690591
mg2-->pps,1,645468
pyr-->psd120,4,4780;4783;4785;4790
ala_b-->pgcd,1,287548
actp-->tmppp,2,639722;639723
succ-->aspct,1,485853
mnl1p-->treptspp,1,641866
etha-->lacz,1,171271
ala__d-->csnd,1,209497
coa-->maltatr,1,487511
mg2-->mi1pp,1,729888
fe3-->lplipal1a120pp,1,94382
nadp-->p5cr,1,392126
hom__l-->hsdy,1,246400
cit-->ppc,1,4311
mg2-->lystrs,1,484
3pg-->icl,1,33118
dcdp-->durik1,1,641132
cu2-->g5sd,1,390308
dutp-->upprt,1,638361
fe2-->lacz,1,679236
appl-->ethaal,1,34382
zn2-->glycdx,1,636295
itp-->ctps2,1,674909
adp-->fruk,1,641683
glc__d-->xyli1,1,671399
ser__l-->ocbt,1,485898
hom__l-->csnd,1,209497
pyr-->pta2,2,487532;720217
hdcea-->g3pat120,1,486365
fald-->mddcp1pp,1,650384
coa-->oxcdc,1,714955
datp-->leutrs,1,429
adp-->prais,1,1308
trp__l-->trpas2,3,37364;651028;665767
23dappa-->serd_d,1,651969
hg2-->glucys,1,1120
atp-->tmppp,2,639722;639723
pi-->prais,1,1308
hom__l-->pgcd,1,287525
atp-->tmk,1,642072
adn-->ctps2,1,674909
glu__l-->glntrs,1,651246
gly-->fthfd,1,208968
pi-->ampn,4,171815;171827;171829;657368
oaa-->citl,2,33352;33363
r1p-->pynp2r,2,638518;638520
nadph-->uapgr,1,286065
urate-->ctps2,1,702613
r15bp-->ppm2,2,3340;3343
ni2-->ctps2,1,649002
hpyr-->glgc,1,643144
ca2-->adncyc,2,34764;34790
pmtcoa-->pntk,1,641393
urea-->alatrs,1,649422
atp-->ntd10,2,656266;95061
dctp-->aspct,1,718943
tartr__d-->dhqti,1,5473
amp-->pps,1,645473
s7p-->ddpa,1,639741
o2-->qulns,1,684659
cobalt2-->g6pdh2r,1,722473
ag-->acnml,1,33314
g3p-->fba,2,4943;652787
pydx5p-->gcaldd,1,390214
cdp-->rndr1,1,437938
fe2-->chors,1,137655
nadp-->trdr,1,393993
o2-->edd,1,33658
oxam-->obtfl,3,487221;487222;487239
pi-->icl,1,33118
pi-->rpi,1,653911
atp-->aso3t8pp,1,654492
dad_2-->gmps2,1,1362
ca2-->me2,1,722940
gtp-->gsnk,1,641928
2cpr5p-->praii,1,4611
itp-->glusy,1,391438
utp-->gludy,1,391675
na1-->abutd,1,690591
spmd-->iletrs,2,454;462
cd2-->kdops,2,637395;637397
ca2-->u23gaat,1,696264
fdp-->ppck,1,649304
oxa-->icl,1,33117
amp-->glgc,10,643126;643127;643141;643148;643150;643152;643161;643164;661743;663026
hom__l-->hcysmt,1,441382
urea-->dhfr,1,392238
ala__l-->glusy,1,391438
adprib-->uapgr,1,286065
2pglyc-->tpi,1,2586
malcoa-->pntk,1,641393
orn-->agmt,1,246681
spmd-->argtrs,1,270
gdptp-->lysdc,1,714832
dtmp-->tmds,3,485358;485363;485415
pdx5p-->pdx5poi,1,654870
gtp-->ntptp1,1,135502
ni2-->thd2pp,1,725040
tdcoa-->edtxs1,1,726949
fe2-->lplipal1a120pp,1,94382
ca2-->g3pat120,1,486357
oxam-->ldh_d,1,286430
accoa-->ppck,1,727382
gly-->ocbt,1,485898
mg2-->ppck,1,649304
gtp-->metat,1,639056
acon_t-->fum,1,33771
f6p-->rpi,1,2787
cyst__l-->hcysmt,1,441382
ade-->ahcysns,4,171851;171854;171857;171859
ca2-->kabcpp,1,289109
lys__l-->aspk,4,642314;642317;680701;722849
uama-->uagcvt,1,637590
udp-->uapgr,1,286065
gcald-->lcadi,1,288133
ade-->ctps2,1,702613
cl-->sulri,1,392964
nadph-->p5cr,1,392126
pi-->pynp2r,1,638518
pnto__r-->pants,1,979
uamr-->uagcvt,3,637590;658113;702267
amet-->hcysmt,1,692948
ade-->dbts,1,653958
mg2-->dhfr,1,392238
atp-->sucoas,1,799
g6p-->glgc,2,643141;643164
